,ID,ICAO,Country,AirportName,longitude,latitude,Year,PAX,cargo,Population100km,Island,SouthIsland,Routes,RunwayCount,NUTS0,NUTS1,NUTS2,NUTS3,Tourists,Area,GDPpc,hub,international,ownership,RunwayLength
169,1064,LFBH,France,La Rochelle-Ile de Re,-1.19528,46.1792,2011,227841,0,1597773,0,0,6,1,FR,FR5,FR53,FR532,4332333,25809.5,22700,0,1,public,2255
170,1066,LFBI,France,Biard,0.306666,46.587745,2011,90713,0,1793047,0,0,6,1,FR,FR5,FR53,FR534,4332333,25809.5,22700,0,1,public,2350
181,1071,LFBL,France,Bellegarde,1.179444,45.862778,2011,335111,332,1348146.5,0,0,20,1,FR,FR6,FR63,FR633,1252700,16942.3,21000,0,1,public,2440
178,1079,LFBO,France,Blagnac,1.363819,43.629075,2011,6936702,54724,2442515.25,0,0,141,2,FR,FR6,FR62,FR623,6323339,45347.9,24900,0,1,public,6500
175,1083,LFBP,France,Pau Pyrenees,-0.418611,43.38,2011,639020,1808,1333788.875,0,0,14,1,FR,FR6,FR61,FR615,8642878,41308.4,25100,0,1,public,2500
179,1088,LFBT,France,Lourdes,-0.006439,43.178675,2011,446347,0,1100087,0,0,4,1,FR,FR6,FR62,FR626,6323339,45347.9,24900,0,0,private,2286
172,1094,LFBX,France,Bassillac,0.815556,45.198055,2011,5942,0,1635145.75,0,0,4,1,FR,FR6,FR61,FR611,8642878,41308.4,25100,0,0,public,1750
176,1100,LFBZ,France,Anglet,-1.523325,43.468419,2011,1031474,0,1949055.75,0,0,18,1,FR,FR6,FR61,FR615,8642878,41308.4,25100,0,1,public,2250
180,1103,LFCK,France,Mazamet,2.289183,43.55625,2011,37792,0,2563312.5,0,0,4,1,FR,FR6,FR62,FR627,6323339,45347.9,24900,0,0,public,1825
177,1106,LFCR,France,Marcillac,2.482672,44.407869,2011,139387,0,989356.25,0,0,8,1,FR,FR6,FR62,FR622,6323339,45347.9,24900,0,1,public,2100
160,1113,LFGJ,France,Tavaux,5.42725,47.039014,2011,2387,1341,2152925.75,0,0,2,1,FR,FR4,FR43,FR432,1780670,16202.3,22200,0,0,public,2800
188,1114,LFHP,France,Loudes,3.762889,45.080689,2011,7859,0,2282834.75,0,0,2,1,FR,FR7,FR72,FR723,2870290,26012.9,22900,0,0,public,1393
158,1120,LFJL,France,Metz Nancy Lorraine,6.251319,48.982142,2011,249884,0,4304313,0,0,10,1,FR,FR4,FR41,FR413,2934064,23547.4,21500,0,0,public,3050
200,1122,LFKB,France,Poretta,9.483731,42.552664,2011,1023566,7392,276498.875,0,0,16,1,FR,FR8,FR83,FR832,2370743,8679.8,23300,0,1,public,2520
201,1130,LFKC,France,Saint Catherine,8.793189,42.530753,2011,294352,5,250220.5,0,0,16,1,FR,FR8,FR83,FR832,2370743,8679.8,23300,0,0,public,2310
198,1132,LFKF,France,Sud Corse,9.097777,41.500557,2011,445286,0,387807,0,0,14,1,FR,FR8,FR83,FR831,2370743,8679.8,23300,0,1,public,2480
199,1139,LFKJ,France,Campo Dell Oro,8.802917,41.923637,2011,1171198,6060,287971.0938,0,0,28,1,FR,FR8,FR83,FR831,2370743,8679.8,23300,0,1,public,2407
185,1146,LFLB,France,Aix Les Bains,5.880225,45.63805,2011,233420,0,5101499,0,0,36,1,FR,FR7,FR71,FR717,15431523,43698.2,28400,0,1,private,2020
189,1150,LFLC,France,Auvergne,3.169169,45.786661,2011,388909,1859,1715209.375,0,0,12,1,FR,FR7,FR72,FR724,2870290,26012.9,22900,0,0,public,3015
184,1155,LFLL,France,Saint Exupery,5.090833,45.726387,2011,8318143,36294,5831906.5,0,0,248,2,FR,FR7,FR71,FR716,15431523,43698.2,28400,0,1,public,6670
186,1158,LFLP,France,Meythet,6.098764,45.929233,2011,42875,0,4505610.5,0,0,2,1,FR,FR7,FR71,FR718,15431523,43698.2,28400,0,0,public,1630
182,1166,LFLS,France,Saint Geoirs,5.329375,45.362944,2011,335060,0,5068765.5,0,0,40,1,FR,FR7,FR71,FR714,15431523,43698.2,28400,0,1,private,3050
187,1169,LFLW,France,Aurillac,2.421944,44.891388,2011,26407,0,951748.875,0,0,2,1,FR,FR7,FR72,FR722,2870290,26012.9,22900,0,0,public,1700
183,1176,LFMH,France,Boutheon,4.296389,45.540554,2011,108648,0,4550375,0,0,4,1,FR,FR7,FR71,FR715,15431523,43698.2,28400,0,1,public,2300
190,1178,LFMK,France,Salvaza,2.306317,43.215978,2011,368003,0,2685123.75,0,0,10,1,FR,FR8,FR81,FR811,8386692,27375.8,21800,0,1,public,2050
196,1182,LFML,France,Provence,5.213611,43.435555,2011,7223736,58937,3911000.25,0,0,200,2,FR,FR8,FR82,FR824,16245204,31399.6,26500,0,1,public,5870
195,1188,LFMN,France,Cote D'Azur,7.215872,43.658411,2011,10405876,17156,2049632.875,0,0,199,2,FR,FR8,FR82,FR823,16245204,31399.6,26500,0,1,public,5530
194,1193,LFMP,France,Rivesaltes,2.870667,42.740442,2011,367726,1,1626501.125,0,0,4,2,FR,FR8,FR81,FR815,8386692,27375.8,21800,0,1,public,3765
192,1201,LFMT,France,Mediterranee,3.963014,43.576194,2011,1308195,7304,2744916,0,0,26,2,FR,FR8,FR81,FR813,8386692,27375.8,21800,0,1,public,3700
193,1204,LFMU,France,Vias,3.353903,43.323522,2011,193702,0,2154663.75,0,0,6,1,FR,FR8,FR81,FR813,8386692,27375.8,21800,0,1,public,2000
151,1210,LFOB,France,Tille,2.112778,49.454444,2011,3677236,0,13540263,0,0,90,2,FR,FR2,FR22,FR222,2474268,19399.5,21600,0,1,minor private,3138
152,1215,LFOH,France,Octeville,0.088056,49.533889,2011,26956,1,2364254,0,0,2,1,FR,FR2,FR23,FR232,2466265,12317.4,24600,0,0,public,2300
150,1220,LFOK,France,Vatry,4.184492,48.776072,2011,50817,8322,1813812.375,0,0,2,1,FR,FR2,FR21,FR213,2328084,25605.8,25300,0,1,major private,3860
153,1222,LFOT,France,Val De Loire,0.727606,47.432222,2011,120485,0,2497549.25,0,0,6,1,FR,FR2,FR24,FR244,5069276,39150.9,23600,0,1,public,2404
149,1229,LFPG,France,Charles De Gaulle,2.55,49.012779,2011,60742357,1532724,13293436,0,0,905,4,FR,FR1,FR10,FR108,35536845,12012.3,46300,1,1,minor private,13815
148,1232,LFPO,France,Orly,2.359444,48.725278,2011,27099908,58788,13342493,0,0,349,3,FR,FR1,FR10,FR104,35536845,12012.3,46300,1,1,minor private,9370
157,1240,LFQQ,France,Lesquin,3.089444,50.561942,2011,1143242,78,9581430,0,0,46,2,FR,FR3,FR30,FR301,4123419,12414.1,22900,0,1,private,4405
164,1245,LFRB,France,Guipavas,-4.418539,48.447911,2011,968695,1439,1071734.875,0,0,16,2,FR,FR5,FR52,FR522,6401509,27207.9,23500,0,1,public,3800
166,1250,LFRD,France,Pleurtuit,-2.079958,48.587683,2011,131004,12,2051873.375,0,0,4,2,FR,FR5,FR52,FR523,6401509,27207.9,23500,0,1,public,3645
154,1254,LFRG,France,St Gatien,0.154306,49.365339,2011,119804,19,2584782,0,0,2,1,FR,FR2,FR25,FR251,3911201,17589.3,22900,0,0,public,2550
168,1261,LFRH,France,Lann Bihoue,-3.44,47.760555,2011,181524,0,1572727.75,0,0,6,2,FR,FR5,FR52,FR524,6401509,27207.9,23500,0,0,public,4073
155,1264,LFRK,France,Carpiquet,-0.45,49.173333,2011,99169,63,2035774.5,0,0,4,2,FR,FR2,FR25,FR251,3911201,17589.3,22900,0,0,public,3080
167,1271,LFRN,France,St Jacques,-1.734794,48.069508,2011,431698,12368,2926694,0,0,20,2,FR,FR5,FR52,FR523,6401509,27207.9,23500,0,0,public,2950
163,1273,LFRO,France,Lannion,-3.471656,48.754378,2011,35492,0,1250199,0,0,2,1,FR,FR5,FR52,FR521,6401509,27207.9,23500,0,0,public,1602
165,1281,LFRQ,France,Pluguffan,-4.167786,47.974981,2011,110804,0,1363615.75,0,0,2,1,FR,FR5,FR52,FR522,6401509,27207.9,23500,0,0,private,2150
161,1282,LFRS,France,Nantes Atlantique,-1.610725,47.153189,2011,3158378,8136,2902848.75,0,0,106,1,FR,FR5,FR51,FR511,6130277,32081.8,25200,0,1,public,2900
162,1288,LFRZ,France,Montoir,-2.149181,47.312189,2011,14112,17217,2854659.5,0,0,2,1,FR,FR5,FR51,FR511,6130277,32081.8,25200,0,0,public,2400
156,1294,LFSD,France,Longvic,5.09,47.26889,2011,44538,0,1643266.625,0,0,2,2,FR,FR2,FR26,FR261,4225666,31582,23500,0,0,public,4200
159,1299,LFST,France,Entzheim,7.628233,48.538319,2011,1065568,1995,7182723.5,0,0,55,1,FR,FR4,FR42,FR421,4400221,8280.2,26200,0,1,public,2400
197,1301,LFTH,France,Le Palyvestre,6.14603,43.0973,2011,574122,0,3167697,0,0,2,2,FR,FR8,FR82,FR825,16245204,31399.6,26500,0,1,public,4022
191,1308,LFTW,France,Garons,4.416347,43.757444,2011,192494,8,3854626.5,0,0,4,1,FR,FR8,FR81,FR812,8386692,27375.8,21800,0,1,private,2443
32,22,EDDB,Germany,Schonefeld,13.5225,52.380001,2011,7098842,8589,5892805,0,0,136,1,DE,DE4,DE40,DE406,3928980,29483.1,22300,0,1,public,3600
46,28,EDDC,Germany,Dresden,13.767161,51.132767,2011,1902662,332,5035857.5,0,0,32,1,DE,DED,DED2,DED21,3350473,7931.3,23100,0,0,public,2850
50,32,EDDE,Germany,Erfurt,10.958106,50.979811,2011,264726,1221,4513555.5,0,0,4,1,DE,DEG,DEG0,DEG01,3367940,16172.5,21900,0,0,public,2600
35,38,EDDF,Germany,Frankfurt Main,8.543125,50.026421,2011,56276006,2214648,9690161,0,0,876,4,DE,DE7,DE71,DE712,8139430,7444.9,41500,1,1,public,14000
41,41,EDDG,Germany,Munster Osnabruck,7.684831,52.134642,2011,1293315,0,11035228,0,0,13,1,DE,DEA,DEA3,DEA37,1731343,6911.4,28200,0,0,public,2170
34,47,EDDH,Germany,Hamburg,9.988228,53.630389,2011,13528395,27428,6186816,0,0,233,2,DE,DE6,DE60,DE600,5083172,755.2,51100,0,1,minor private,6916
40,55,EDDK,Germany,Koln Bonn,7.142744,50.865917,2011,9599976,727460,16231060,0,0,161,3,DE,DEA,DEA2,DEA23,5980577,7364.4,33200,0,1,public,8139
38,57,EDDL,Germany,Dusseldorf,6.766775,51.289453,2011,20298970,81250,18366256,0,0,449,2,DE,DEA,DEA1,DEA11,5564087,5291,35000,1,1,minor private,5700
28,62,EDDM,Germany,Franz Josef Strauss,11.786086,48.353783,2011,37593829,303667,6406240,0,0,643,2,DE,DE2,DE21,DE21A,13056151,17529.8,44700,1,1,public,8000
29,70,EDDN,Germany,Nurnberg,11.066897,49.4987,2011,3933626,7913,5091436.5,0,0,76,1,DE,DE2,DE25,DE254,3255754,7244.9,34700,0,1,public,2700
47,75,EDDP,Germany,Leipzig Halle,12.241633,51.432447,2011,1834406,744028,5281172.5,0,0,40,2,DE,DED,DED5,DED53,1638033,3964.7,24800,0,1,public,7200
45,78,EDDR,Germany,Saarbrucken,7.109508,49.214553,2011,411473,282,7013697,0,0,22,1,DE,DEC,DEC0_,DEC1_,749453,410.62,23100,0,0,public,2000
25,84,EDDS,Germany,Stuttgart,9.221964,48.689878,2011,9536000,30359,9464304,0,0,217,1,DE,DE1,DE11,DE113,4842325,10557.7,40100,0,1,public,3345
31,88,EDDT,Germany,Tegel,13.287711,52.559686,2011,16892424,26710,5749784.5,0,0,337,2,DE,DE3,DE30,DE300,9852160,887.7,29900,1,1,public,5451
37,91,EDDV,Germany,Hannover,9.685078,52.461056,2011,5302487,16814,6504645,0,0,116,3,DE,DE9,DE92,DE929,2816321,9047.7,31300,0,1,minor private,6910
33,100,EDDW,Germany,Neuenland,8.786667,53.0475,2011,2552632,719,6541925,0,0,58,2,DE,DE5,DE50,DE501,1100013,419.2,40800,0,1,public,3334
44,101,EDFH,Germany,Frankfurt Hahn,7.263892,49.948672,2011,2829589,221541,8558615,0,0,66,1,DE,DEB,DEB1,DEB19,3341707,8073,27500,0,1,public,3800
48,106,EDHL,Germany,Lubeck Blankensee,10.719222,53.805367,2011,329159,0,5390073,0,0,10,1,DE,DEF,DEF0,DEF03,5965744,15799.3,25800,0,1,public,2102
30,111,EDJA,Germany,Allgau,10.2395,47.988758,2011,755458,0,6777453.5,0,0,24,1,DE,DE2,DE27,DE27C,3951965,9993.4,32000,0,1,public,2981
