,ID,ICAO,Country,AirportName,longitude,latitude,Year,PAX,cargo,Population100km,Island,SouthIsland,Routes,RunwayCount,NUTS0,NUTS1,NUTS2,NUTS3,Tourists,Area,GDPpc,hub,international,ownership,RunwayLength
203,1492,LHBP,Hungary,Ferihegy,19.255592,47.436933,2011,8884837,68860,4824555,0,0,168,2,HU,HU1,HU10,HU101,3095243,6916.3,27500,0,1,major private,6717
213,4,BIKF,Iceland,Keflavik International Airport,-22.605556,63.985,2011,2462894,37558,224556.9688,0,0,58,2,IS,IS0,IS00,IS002,495000,103000,29900,0,1,public,6119
209,495,EICK,Ireland,Cork,-8.491111,51.841269,2011,2350843,795,914354.875,0,0,57,2,IE,IE0,IE02,IE025,2727206.501,36545,38000,0,1,public,3443
210,502,EIDW,Ireland,Dublin,-6.270075,53.421333,2011,18719711,101193,2305266.25,0,0,301,2,IE,IE0,IE02,IE021,2727206.501,36545,38000,1,1,public,4709
208,504,EIKN,Ireland,Ireland West Knock,-8.818492,53.910297,2011,653237,15,656843.125,0,0,18,1,IE,IE0,IE01,IE013,2481463.143,33252,22700,0,1,private,2340
211,510,EIKY,Ireland,Kerry,-9.523783,52.180878,2011,310905,0,884056.4375,0,0,8,1,IE,IE0,IE02,IE025,2727206.501,36545,38000,0,1,private,2000
212,518,EINN,Ireland,Shannon,-8.924817,52.701978,2011,1342753,16608,1093228.375,0,0,21,1,IE,IE0,IE02,IE023,2727206.501,36545,38000,0,1,public,3199
222,1495,LIBD,Italy,Bari,16.760594,41.138856,2011,3700248,2127,2797964.75,0,0,76,2,IT,ITF,ITF4,ITF47,3230905,19357.9,16800,0,1,public,4695
220,1500,LIBP,Italy,Pescara,14.181067,42.431656,2011,545099,1200,1888142.125,0,0,18,1,IT,ITF,ITF1,ITF14,1580898,10762.7,23300,0,1,private,2419
223,1503,LIBR,Italy,Casale,17.947033,40.657633,2011,2049754,75,2142410.75,0,0,34,2,IT,ITF,ITF4,ITF44,3230905,19357.9,16800,0,1,public,4844
224,1510,LICA,Italy,Lamezia Terme,16.242269,38.905394,2011,2293744,1774,1777561.25,0,0,26,1,IT,ITF,ITF6,ITF63,1515796,15080.6,16000,0,1,major private,2414
226,1511,LICC,Italy,Catania Fontanarossa,15.0664,37.466781,2011,6771238,8966,3018115.75,0,0,119,1,IT,ITG,ITG1,ITG17,4221641,25711.4,16800,0,1,public,2436
227,1517,LICD,Italy,Lampedusa,12.618083,35.497914,2011,161291,58,5698.001465,1,1,4,1,IT,ITG,ITG1,ITG14,4221641,25711.4,16800,0,0,public,1795
228,1521,LICG,Italy,Pantelleria,11.968864,36.816519,2011,132487,61,180693.9219,1,1,4,2,IT,ITG,ITG1,ITG11,4221641,25711.4,16800,0,0,public,2895
229,1523,LICJ,Italy,Palermo,13.091019,38.175958,2011,4966162,1976,1842330.5,0,0,70,2,IT,ITG,ITG1,ITG12,4221641,25711.4,16800,0,1,public,5394
225,1529,LICR,Italy,Reggio Calabria,15.651556,38.071206,2011,519454,131,2334610.75,0,0,12,2,IT,ITF,ITF6,ITF65,1515796,15080.6,16000,0,0,private,3665
230,1531,LICT,Italy,Trapani Birgi,12.487961,37.911403,2011,1468041,13,1626062,0,0,38,1,IT,ITG,ITG1,ITG11,4221641,25711.4,16800,0,1,minor private,2695
231,1534,LIEA,Italy,Alghero,8.290772,40.632133,2011,1511472,1580,586028.25,0,0,35,1,IT,ITG,ITG2,ITG25,2242707,24089.9,19400,0,1,major private,3000
232,1541,LIEE,Italy,Elmas,9.054283,39.251469,2011,3681944,3115,980981.1875,0,0,52,1,IT,ITG,ITG2,ITG27,2242707,24089.9,19400,0,1,public,2804
233,1544,LIEO,Italy,Olbia Costa Smeralda,9.517628,40.898661,2011,1825580,203,499913.2813,0,0,21,1,IT,ITG,ITG2,ITG29,2242707,24089.9,19400,0,1,major private,2445
217,1547,LIMC,Italy,Malpensa,8.728111,45.630606,2011,19087098,450445,9517737,0,0,372,2,IT,ITC,ITC4,ITC41,13258859,23862.8,35900,1,1,public,7840
218,1551,LIME,Italy,Bergamo Orio Al Serio,9.704166,45.673889,2011,8410684,112250,10155233,0,0,157,2,IT,ITC,ITC4,ITC46,13258859,23862.8,35900,0,1,minor private,3712
214,1555,LIMF,Italy,Torino,7.649631,45.200761,2011,3700108,944,4463072,0,0,80,1,IT,ITC,ITC1,ITC11,4247695,25402.5,28700,0,1,minor private,3300
216,1559,LIMJ,Italy,Genova Sestri,8.8375,44.413333,2011,1393985,451,3107309.75,0,0,28,1,IT,ITC,ITC3,ITC33,3839672,5421.6,29700,0,1,minor private,2916
219,1565,LIML,Italy,Linate,9.276739,45.445103,2011,9061749,19591,10335652,0,0,122,2,IT,ITC,ITC4,ITC4C,13258859,23862.8,35900,0,1,major private,3043
238,1569,LIMP,Italy,Parma,10.296367,44.824483,2011,268369,3,6604877.5,0,0,6,1,IT,ITH,ITH5,ITH52,9258418,22445.5,32500,0,1,major private,2122
215,1570,LIMZ,Italy,Levaldigi,7.623217,44.547019,2011,220958,0,4394060,0,0,10,1,IT,ITC,ITC1,ITC16,4247695,25402.5,28700,0,0,private,2104
239,1572,LIPE,Italy,Bologna,11.288667,44.535444,2011,5820813,32578,6128197,0,0,126,1,IT,ITH,ITH5,ITH55,9258418,22445.5,32500,0,1,minor private,2800
234,1577,LIPH,Italy,Treviso,12.194422,45.6484,2011,1075319,869,5324667.5,0,0,59,1,IT,ITH,ITH3,ITH34,15765623,18398.9,30300,0,0,major private,2420
240,1582,LIPK,Italy,Forli,12.070094,44.194753,2011,344168,544,4358956,0,0,8,1,IT,ITH,ITH5,ITH58,9258418,22445.5,32500,0,0,private,2560
237,1586,LIPQ,Italy,Ronchi Dei Legionari,13.472222,45.8275,2011,854252,204,3317623.75,0,0,18,1,IT,ITH,ITH4,ITH43,2085030,7858.4,28800,0,1,minor private,3000
241,1589,LIPR,Italy,Rimini,12.611747,44.020292,2011,913190,787,2569315.25,0,0,10,1,IT,ITH,ITH5,ITH59,9258418,22445.5,32500,0,1,private,2964
235,1593,LIPX,Italy,Villafranca,10.888533,45.395706,2011,3348933,334,7657473.5,0,0,91,1,IT,ITH,ITH3,ITH31,15765623,18398.9,30300,0,1,minor private,3068
245,1597,LIPY,Italy,Falconara,13.362222,43.616389,2011,597099,6997,2249718.75,0,0,14,1,IT,ITI,ITI3,ITI32,2260569,9365.9,25600,0,1,private,2962
236,1599,LIPZ,Italy,Venezia Tessera,12.351944,45.505278,2011,8553639,32695,4986670,0,0,188,2,IT,ITH,ITH3,ITH35,15765623,18398.9,30300,0,1,private,6080
246,1604,LIRA,Italy,Ciampino,12.594936,41.799361,2011,4741287,18848,5215173,0,0,66,1,IT,ITI,ITI4,ITI43,10298408,17236,33100,0,1,major private,2208
247,1607,LIRF,Italy,Fiumicino,12.250797,41.804475,2011,37404513,151867,4855704,0,0,594,4,IT,ITI,ITI4,ITI43,10298408,17236,33100,1,1,major private,15400
221,1612,LIRN,Italy,Capodichino,14.290781,40.886033,2011,5728402,3024,6111489.5,0,0,82,1,IT,ITF,ITF3,ITF33,4849622,13590.2,16500,0,1,major private,2628
242,1615,LIRP,Italy,Pisa,10.39275,43.683917,2011,4509561,6787,3422733.25,0,0,88,2,IT,ITI,ITI1,ITI17,11985798,22993.5,28400,0,1,major private,5785
243,1619,LIRQ,Italy,Firenze,11.2051,43.809953,2011,1893238,176,5248611.5,0,0,56,1,IT,ITI,ITI1,ITI14,11985798,22993.5,28400,0,1,major private,1750
244,1625,LIRZ,Italy,Perugia,12.513222,43.095906,2011,171071,0,3167004.25,0,0,8,1,IT,ITI,ITI2,ITI21,2210933,8456,24200,0,1,major private,2199
252,800,EVRA,Latvia,Riga Intl,23.971111,56.923611,2011,5098360,11571,1478427,0,0,184,1,LV,LV0,LV00,LV007,1584996,64562,14700,0,1,public,3200
248,803,EYKA,Lithuania,Kaunas Intl,24.084778,54.963919,2011,870801,4222,2131203,0,0,10,1,LT,LT0,LT00,LT002,1576910,65300,17000,0,1,public,3250
249,810,EYPA,Lithuania,Palanga Intl,21.093856,55.973228,2011,111788,10,784407.5,0,0,6,1,LT,LT0,LT00,LT003,1576910,65300,17000,0,1,public,2280
250,817,EYVI,Lithuania,Vilnius Intl,25.285767,54.634133,2011,1709406,5779,1979517,0,0,88,1,LT,LT0,LT00,LT00A,1576910,65300,17000,0,1,public,2515
251,552,ELLX,Luxembourg,Luxembourg,6.211517,49.626575,2011,1836920,666011,4292403.5,0,0,88,1,LU,LU0,LU00,LU000,934995,2586,68900,0,1,public,4000
254,469,EHAM,Netherlands,Schiphol,4.763889,52.308613,2011,49690392,1549445,11406186,0,0,791,5,NL,NL3,NL32,NL326,9357300,4091.8,42600,1,1,minor private,19467
257,477,EHBK,Netherlands,Maastricht,5.770144,50.911658,2011,337347,65402,15439983,0,0,16,1,NL,NL4,NL42,NL423,3279700,2209.2,28800,0,1,private,2500
256,481,EHEH,Netherlands,Eindhoven,5.374528,51.450139,2011,2670269,0,18023626,0,0,106,1,NL,NL4,NL41,NL414,3070900,5081.8,35600,0,1,minor private,3000
253,484,EHGG,Netherlands,Eelde,6.579444,53.11972,2011,115553,0,3670603.75,0,0,8,2,NL,NL1,NL13,NL131,1406200,2680.4,24600,0,1,minor private,4000
255,490,EHRD,Netherlands,Rotterdam,4.437222,51.956944,2011,1081841,47,12771079,0,0,40,1,NL,NL3,NL33,NL339,3513200,3418.5,35000,0,1,minor private,2200
264,556,ENAL,Norway,Vigra,6.110164,62.560372,2011,892080,430,222878.4844,0,0,22,1,NO,NO0,NO05,NO053,3531421,49177,36600,0,1,public,2314
275,560,ENAT,Norway,Alta,23.371667,69.976111,2011,346366,136,41283.98438,0,0,16,1,NO,NO0,NO07,NO073,2119041,112946,30300,0,0,public,2253
270,567,ENBO,Norway,Bodo,14.365278,67.269167,2011,1544353,1013,90575.23438,0,0,39,1,NO,NO0,NO07,NO071,2119041,112946,30300,0,0,public,2794
265,574,ENBR,Norway,Flesland,5.218142,60.293386,2011,5184549,2472,488928,0,0,104,1,NO,NO0,NO05,NO051,3531421,49177,36600,0,1,public,2990
261,582,ENCN,Norway,Kjevik,8.085369,58.204214,2011,945316,88,271839.75,0,0,20,1,NO,NO0,NO04,NO042,2397946,25810,37700,0,0,public,2035
271,585,ENDU,Norway,Bardufoss,18.540356,69.055758,2011,196980,1,148146.9531,0,0,2,1,NO,NO0,NO07,NO072,2119041,112946,30300,0,0,public,2443
272,589,ENEV,Norway,Evenes,16.678108,68.4913,2011,582338,176,114659.4609,0,0,14,1,NO,NO0,NO07,NO071,2119041,112946,30300,0,0,public,2808
266,597,ENFL,Norway,Floro,5.024722,61.583611,2011,122030,0,128414.5469,0,0,7,1,NO,NO0,NO05,NO052,3531421,49177,36600,0,0,public,1264
258,601,ENGM,Norway,Gardermoen,11.100361,60.193917,2011,21102984,61602,1676562.625,0,0,303,2,NO,NO0,NO01,NO012,3796580,5372,48300,1,1,public,6550
262,607,ENHD,Norway,Karmoy,5.208364,59.345267,2011,597053,63,467356.4688,0,0,16,1,NO,NO0,NO04,NO043,2397946,25810,37700,0,1,public,2120
267,612,ENKB,Norway,Kvernberget,7.824522,63.111781,2011,283591,20,154611.6094,0,0,10,1,NO,NO0,NO05,NO053,3531421,49177,36600,0,0,public,1840
273,618,ENKR,Norway,Hoybuktmoen,29.891295,69.725781,2011,295214,304,40391.76953,0,0,17,1,NO,NO0,NO07,NO073,2119041,112946,30300,0,0,public,2115
268,626,ENML,Norway,Aro,7.2625,62.744722,2011,434844,2542,233880.6719,0,0,12,1,NO,NO0,NO05,NO053,3531421,49177,36600,0,0,public,2220
259,642,ENRY,Norway,Moss,10.785389,59.378933,2011,1666446,0,1914655.75,0,0,46,1,NO,NO0,NO03,NO031,3125193,36616,27800,0,1,public,2442
274,656,ENTC,Norway,Langnes,18.918919,69.683333,2011,1698357,1402,108610.1016,0,0,45,1,NO,NO0,NO07,NO072,2119041,112946,30300,0,1,public,2447
260,661,ENTO,Norway,Torp,10.258628,59.186703,2011,1338616,230,1741236.25,0,0,55,1,NO,NO0,NO03,NO033,3125193,36616,27800,0,1,public,2989
269,665,ENVA,Norway,Vaernes,10.92425,63.457556,2011,3901645,723,348487.4688,0,0,79,1,NO,NO0,NO06,NO062,1499983,41271,31700,0,0,public,2999
263,672,ENZV,Norway,Sola,5.637856,58.876778,2011,3881453,1505,434533,0,0,81,2,NO,NO0,NO04,NO043,2397946,25810,37700,0,1,public,5005
284,673,EPBY,Poland,Bydgoszcz Ignacy Jan Paderewski Airport,17.9777,53.0968,2011,276705,372,3237448.5,0,0,12,1,PL,PL6,PL61,PL613,821482,17972,13600,0,1,public,2500
285,674,EPGD,Poland,Lech Walesa,18.466222,54.377569,2011,2456025,4854,2491356.25,0,0,92,1,PL,PL6,PL63,PL633,1661540,18310,16000,0,1,public,2800
278,679,EPKK,Poland,Balice,19.784836,50.077731,2011,2994359,1582,8229464,0,0,100,1,PL,PL2,PL21,PL214,3135371,15183,14800,0,1,public,2550
279,685,EPKT,Poland,Pyrzowice,19.080019,50.474253,2011,2513417,4207,8231605.5,0,0,56,1,PL,PL2,PL22,PL228,1805020,12333,17900,0,1,minor private,3200
276,686,EPLL,Poland,Reymont Airport,19.398133,51.721881,2011,384063,0,3886733.25,0,0,16,1,PL,PL1,PL11,PL113,1048186,18219,15400,0,1,public,2500
281,690,EPPO,Poland,Lawica,16.826325,52.421031,2011,1416685,1111,3194345.25,0,0,50,1,PL,PL4,PL41,PL415,1649602,29826,17500,0,1,public,2504
280,691,EPRZ,Poland,Jasionka,22.019,50.109958,2011,491173,492,3480146.75,0,0,16,1,PL,PL3,PL32,PL325,718911,17846,11700,0,1,public,3200
282,692,EPSC,Poland,Goleniow,14.902206,53.584731,2011,244663,667,1822078.625,0,0,10,1,PL,PL4,PL42,PL425,1863559,22892,14000,0,1,public,2500
277,693,EPWA,Poland,Okecie,20.967122,52.16575,2011,9352979,60576,5072829.5,0,0,232,2,PL,PL1,PL12,PL127,3311910,35558,26300,0,1,public,6490
283,698,EPWR,Poland,Strachowice,16.885836,51.102683,2011,1609014,871,4180059.5,0,0,60,1,PL,PL5,PL51,PL514,2026726,19947,19000,0,1,public,2500
287,1685,LPFR,Portugal,Faro,-7.965911,37.014425,2011,5617688,186,726332.625,0,0,116,1,PT,PT1,PT15,PT150,2938494,4996.8,19900,0,1,public,2490
289,1693,LPMA,Portugal,Madeira,-16.774453,32.697889,2011,2312923,6508,217042,1,1,105,1,PT,PT3,PT30,PT300,895168,801.1,20100,0,1,public,2781
286,1697,LPPR,Portugal,Porto,-8.681389,41.248055,2011,6004500,24470,4144011.75,0,0,152,1,PT,PT1,PT11,PT114,2924439,21285.8,16500,0,1,public,3480
290,1702,LPPS,Portugal,Porto Santo,-16.349975,33.073386,2011,108383,200,217042,1,1,6,1,PT,PT3,PT30,PT300,895168,801.1,20100,0,0,public,3000
288,1707,LPPT,Portugal,Lisboa,-9.135919,38.781311,2011,14806537,95311,3413181.25,0,0,368,2,PT,PT1,PT17,PT171,4179164,3001.9,28500,1,1,public,6109
293,1710,LRBC,Romania,Bacau,26.910278,46.521946,2011,293965,10,3285062.25,0,0,4,1,RO,RO2,RO21,RO211,696188,36849.8,7800,0,0,public,2500
291,1715,LRCL,Romania,Cluj Napoca,23.686167,46.785167,2011,1004946,744,2438844,0,0,32,1,RO,RO1,RO11,RO113,799304,34160.5,11400,0,1,public,2040
294,1718,LROP,Romania,Henri Coanda,26.102178,44.572161,2011,5028201,24134,5259343.5,0,0,208,2,RO,RO3,RO32,RO322,1282616,1821.2,34300,0,1,minor private,7000
292,1723,LRSB,Romania,Sibiu,24.091342,45.785597,2011,176876,39,2391383.5,0,0,15,1,RO,RO1,RO12,RO126,1435771,34099.7,12400,0,1,public,2630
295,1727,LRTR,Romania,Traian Vuia,21.337861,45.809861,2011,1227943,1295,2237446.5,0,0,66,1,RO,RO4,RO42,RO424,639657,32033.2,14700,0,1,minor private,3500
314,1758,LZIB,Slovakia,M R Stefanik,17.212667,48.170167,2011,1577414,20459,5328674,0,0,22,2,SK,SK0,SK01,SK010,878413,2052.5,46800,0,1,public,6090
315,1759,LZKZ,Slovakia,Kosice,21.241112,48.663055,2011,263502,83,2998844.5,0,0,6,1,SK,SK0,SK04,SK042,896132,15728.4,12800,0,1,public,3100
313,1629,LJLJ,Slovenia,Ljubljana,14.457611,46.223686,2011,1358792,6877,3041469.25,0,0,59,1,SI,SI0,SI02,SI022,1889543,8060.7,25600,0,1,minor private,3300
120,818,GCFV,Spain,Fuerteventura,-13.863761,28.452717,2011,4895403,1561,103492,1,1,158,2,ES,ES7,ES70,ES704,16926490,7447,21300,0,1,public,5546
131,829,GCHI,Spain,Hierro,-17.887056,27.814847,2011,169314,221,10162,1,1,4,1,ES,ES7,ES70,ES703,11636317,7447,21300,0,0,public,1250
121,833,GCLA,Spain,La Palma,-17.755611,28.626478,2011,1048911,923,86324,1,1,31,1,ES,ES7,ES70,ES707,11636317,7447,21300,0,1,public,2200
122,837,GCLP,Spain,Gran Canaria,-15.386586,27.931886,2011,10339466,28158,845676,1,1,299,2,ES,ES7,ES70,ES705,11636317,7447,21300,0,1,public,6200
123,841,GCRR,Spain,Lanzarote,-13.605225,28.945464,2011,5440041,2910,141437,1,1,217,1,ES,ES7,ES70,ES708,11636317,7447,21300,0,1,public,2400
124,845,GCTS,Spain,Tenerife Sur,-16.572489,28.044475,2011,8507260,4792,141437,1,1,316,1,ES,ES7,ES70,ES709,11636317,7447,21300,0,1,public,3200
125,852,GCXO,Spain,Tenerife Norte,-16.341536,28.482653,2011,4118009,16549,141437,1,1,55,1,ES,ES7,ES70,ES709,11636317,7447,21300,0,0,public,3394
119,855,GEML,Spain,Melilla,-2.956256,35.279817,2011,277717,274,1562416.625,1,1,8,1,ES,ES6,ES64,ES640,49763,13.4,19100,0,0,public,1428
108,912,LEAL,Spain,Alicante,-0.558156,38.282169,2011,9892302,2270,3031277.5,0,0,220,1,ES,ES5,ES52,ES521,8704100,23254.5,21700,0,1,public,3000
113,917,LEAM,Spain,Almeria,-2.370097,36.843936,2011,763762,5,760802.25,0,0,14,1,ES,ES6,ES61,ES611,16926490,87597.7,18700,0,1,public,3200
96,921,LEAS,Spain,Asturias,-6.034622,43.563567,2011,1333656,198,1003444.438,0,0,32,1,ES,ES1,ES12,ES120,1850924,10603.6,22600,0,1,public,2200
97,925,LEBB,Spain,Bilbao,-2.910608,43.301097,2011,4036722,2623,2564936,0,0,96,2,ES,ES2,ES21,ES213,2722600,7235.2,32100,0,0,public,4600
105,929,LEBL,Spain,Barcelona,2.078464,41.297078,2011,34314376,98016,5362373,0,0,551,3,ES,ES5,ES51,ES511,20071542,32113.4,28700,1,1,public,8740
92,934,LECO,Spain,A Coruna,-8.377256,43.302061,2011,1006727,259,1466059.5,0,0,16,1,ES,ES1,ES11,ES111,3785590,29574.4,21700,0,1,public,2338
106,942,LEGE,Spain,Girona,2.760547,41.900969,2011,2991065,57,5317424.5,0,0,42,1,ES,ES5,ES51,ES512,20071542,32113.4,28700,0,1,public,2400
114,944,LEGR,Spain,Granada,-3.777356,37.188731,2011,862621,45,2504637.5,0,0,14,1,ES,ES6,ES61,ES614,16926490,87597.7,18700,0,1,public,2900
110,949,LEIB,Spain,Ibiza,1.373117,38.872858,2011,5612913,3284,100974.0078,1,1,25,1,ES,ES5,ES53,ES531,9869849,4991.7,25600,0,1,public,2800
115,958,LEJR,Spain,Jerez,-6.060111,36.744622,2011,953631,47,2948827.75,0,0,20,1,ES,ES6,ES61,ES612,16926490,87597.7,18700,0,1,public,2300
118,963,LELC,Spain,Murcia San Javier,-0.812389,37.774972,2011,1262534,0,2392740.75,0,0,12,2,ES,ES6,ES62,ES620,1238516,11313.2,20100,0,1,public,3880
103,970,LEMD,Spain,Barajas,-3.566764,40.493556,2011,49531687,421832,6104501.5,0,0,587,4,ES,ES3,ES30,ES300,11080577,8027.7,33300,1,1,public,15449
116,977,LEMG,Spain,Malaga,-4.499106,36.6749,2011,12759548,3150,2370765.5,0,0,270,1,ES,ES6,ES61,ES617,16926490,87597.7,18700,1,1,public,3200
111,978,LEMH,Spain,Menorca,4.218647,39.862597,2011,2561368,2557,169825.4531,1,1,14,2,ES,ES5,ES53,ES533,9869849,4991.7,25600,0,1,public,4650
112,986,LEPA,Spain,Son Sant Joan,2.727778,39.55361,2011,22702799,16051,729989.8125,1,1,217,2,ES,ES5,ES53,ES532,9869849,4991.7,25600,0,1,public,6270
101,989,LEPP,Spain,Pamplona,-1.646331,42.770039,2011,230401,23,2173413.5,0,0,4,1,ES,ES2,ES22,ES220,1123147,10390.4,30800,0,0,public,2207
107,995,LERS,Spain,Reus,1.167172,41.147392,2011,1347890,36,4871541.5,0,0,14,1,ES,ES5,ES51,ES514,20071542,32113.4,28700,0,1,public,2459
98,1002,LESO,Spain,San Sebastian,-1.790611,43.356519,2011,240767,49,2494795.5,0,0,4,1,ES,ES2,ES21,ES212,2722600,7235.2,32100,0,0,public,1800
93,1007,LEST,Spain,Santiago,-8.415144,42.896333,2011,2446685,1273,2270382.75,0,0,48,1,ES,ES1,ES11,ES111,3785590,29574.4,21700,0,1,public,3200
109,1010,LEVC,Spain,Valencia,-0.481625,39.489314,2011,4967230,10324,2830582,0,0,119,1,ES,ES5,ES52,ES523,8704100,23254.5,21700,0,1,public,3215
104,1016,LEVD,Spain,Valladolid,-4.851944,41.706111,2011,452919,41,903630.375,0,0,8,1,ES,ES4,ES41,ES418,5181475,94225.9,23400,0,1,public,3005
99,1024,LEVT,Spain,Vitoria,-2.724469,42.882836,2011,23109,15007,2846150.5,0,0,2,1,ES,ES2,ES21,ES211,2722600,7235.2,32100,0,0,public,3500
94,1025,LEVX,Spain,Vigo,-8.626775,42.2318,2011,975982,1108,2607774.25,0,0,22,1,ES,ES1,ES11,ES114,3785590,29574.4,21700,0,0,public,2400
100,1033,LEXJ,Spain,Santander,-3.820006,43.427064,2011,1115200,1,1553327.625,0,0,28,1,ES,ES1,ES13,ES130,1574052,5321.3,23000,0,1,public,2420
102,1035,LEZG,Spain,Zaragoza Ab,-1.041553,41.666242,2011,750527,48151,1089723.75,0,0,24,2,ES,ES2,ES24,ES243,2699581,47720.3,27200,0,1,public,6742
117,1041,LEZL,Spain,Sevilla,-5.893106,37.418,2011,4940062,3562,2655515.75,0,0,94,1,ES,ES6,ES61,ES618,16926490,87597.7,18700,0,1,public,3360
302,704,ESDF,Sweden,Ronneby,15.265,56.266667,2011,227497,5,524096.75,0,0,6,1,SE,SE2,SE22,SE221,2726777,14423.9,27800,0,0,public,2331
305,707,ESGG,Sweden,Landvetter,12.279819,57.662836,2011,4906329,43542,1489108.625,0,0,85,1,SE,SE2,SE23,SE232,5072180,31108.3,31500,0,1,public,3299
306,714,ESGP,Sweden,Save,11.870372,57.774722,2011,772858,29,1418718.125,0,0,24,2,SE,SE2,SE23,SE232,5072180,31108.3,31500,0,1,public,2910
298,720,ESKN,Sweden,Skavsta,16.912189,58.788636,2011,2581305,6,2445494.25,0,0,56,2,SE,SE1,SE12,SE122,2807993,41413.9,28700,0,1,public,4917
303,725,ESMS,Sweden,Sturup,13.371639,55.530193,2011,1945895,33175,3045809.75,0,0,28,2,SE,SE2,SE22,SE224,2726777,14423.9,27800,0,1,public,3600
300,732,ESMX,Sweden,Kronoberg,14.727994,56.929144,2011,180692,140,721767.375,0,0,8,1,SE,SE2,SE21,SE212,2241341,35560.3,28100,0,0,public,2103
309,736,ESNN,Sweden,Sundsvall Harnosand,17.443928,62.528125,2011,282291,2162,207086.9375,0,0,10,1,SE,SE3,SE32,SE321,1190619,77207,29400,0,0,public,2090
310,741,ESNQ,Sweden,Kiruna,20.336764,67.821986,2011,164208,580,30792.7207,0,0,6,1,SE,SE3,SE33,SE332,1590712,165295.6,32200,0,0,public,2502
311,749,ESNU,Sweden,Umea,20.282758,63.791828,2011,956255,4732,199840.4531,0,0,16,1,SE,SE3,SE33,SE331,1590712,165295.6,32200,0,1,public,2302
308,757,ESNZ,Sweden,Ostersund Airport,14.5003,63.1944,2011,377976,67,97042.38281,0,0,6,2,SE,SE3,SE32,SE322,1190619,77207,29400,0,1,public,3730
307,761,ESOK,Sweden,Karlstad Airport,13.3374,59.4447,2011,108784,146,423327.625,0,0,8,1,SE,SE3,SE31,SE311,2502313,69549,26800,0,0,public,2516
299,764,ESOW,Sweden,Vasteras,16.633611,59.589444,2011,144434,5730,2688368,0,0,2,1,SE,SE1,SE12,SE125,2807993,41413.9,28700,0,1,public,3381
312,771,ESPA,Sweden,Kallax,22.121989,65.543758,2011,1066702,1449,185112.4844,0,0,10,1,SE,SE3,SE33,SE332,1590712,165295.6,32200,0,1,public,3350
296,773,ESSA,Sweden,Arlanda,17.918611,59.651944,2011,19058651,82520,2534771.25,0,0,343,3,SE,SE1,SE11,SE110,5692303,6789.2,46200,1,1,public,8301
297,782,ESSB,Sweden,Bromma,17.94165,59.354372,2011,2182992,413,2521073.5,0,0,60,1,SE,SE1,SE11,SE110,5692303,6789.2,46200,0,0,public,1668
301,784,ESSV,Sweden,Visby,18.346211,57.662797,2011,338688,805,57104.62109,1,0,14,1,SE,SE2,SE21,SE214,2241341,35560.3,28100,0,1,public,2000
304,788,ESTA,Sweden,Angelholm-Helsingborg Airport,12.8471,56.2961,2011,396720,5,3063030.5,0,0,12,1,SE,SE2,SE22,SE224,2726777,14423.9,27800,0,0,public,1945
13,1729,LSGG,Switzerland,Geneve Cointrin,6.10895,46.238064,2011,13003611,38320,3619622.25,0,0,346,1,CH,CH0,CH01,CH013,1802258.428,8718.8,41200,1,1,public,3900
17,1738,LSZA,Switzerland,Lugano,8.910578,46.004275,2011,165054,71,8534680,0,0,6,1,CH,CH0,CH07,CH070,581308.3396,2812.2,41200,0,0,public,1420
14,1739,LSZB,Switzerland,Bern Belp,7.497153,46.9141,2011,169288,0,5989487.5,0,0,28,1,CH,CH0,CH02,CH021,2079931.244,10062.1,41200,0,1,major private,1730
15,1746,LSZH,Switzerland,Zurich,8.549167,47.464722,2011,24313250,314653,7432270,0,0,438,3,CH,CH0,CH04,CH040,357400.654,1729,41200,1,1,major private,9500
16,1752,LSZR,Switzerland,St Gallen Altenrhein,9.560775,47.485033,2011,94834,0,5598415,0,0,4,1,CH,CH0,CH05,CH055,2381520.344,11521.1,41200,0,1,private,1500
352,260,EGAA,United Kingdom,Belfast Intl,-6.215833,54.6575,2011,4101907,46490,1988462.625,0,0,58,2,UK,UKN,UKN0,UKN03,1161928,14129.7,21300,0,1,private,4671
353,266,EGAC,United Kingdom,Belfast City,-5.8725,54.618056,2011,2392382,459,1804991.125,0,0,38,1,UK,UKN,UKN0,UKN01,1161928,14129.7,21300,0,1,private,1829
354,272,EGAE,United Kingdom,City of Derry,-7.161111,55.042778,2011,405568,0,1609857,0,0,8,1,UK,UKN,UKN0,UKN04,1161928,14129.7,21300,0,1,public,1969
325,276,EGBB,United Kingdom,Birmingham,-1.748028,52.453856,2011,8606497,16642,11383439,0,0,195,1,UK,UKG,UKG3,UKG32,2015535,901.6,22800,0,1,major private,3052
334,282,EGBJ,United Kingdom,Gloucestershire,-2.167222,51.894167,2011,14737,0,10438338,0,0,2,3,UK,UKK,UKK1,UKK13,2908003,7703.9,29100,0,0,private,3218
319,284,EGCC,United Kingdom,Manchester,-2.27495,53.353744,2011,18803819,108537,14981104,0,0,420,2,UK,UKD,UKD6,UKD62,798599,2289.9,29800,1,1,public,6098
322,289,EGCN,United Kingdom,Robin Hood Doncaster Sheffield Airport,-1.004444,53.474722,2011,821603,102,11437719,0,0,26,1,UK,UKE,UKE3,UKE31,520171,1552.1,19300,0,1,major private,2893
